"","Blood_Young_rep1","Blood_Young_rep2","Blood_Young_rep3","Blood_LTDR_rep2","Blood_LTDR_rep3","Blood_LTAL_rep2","Blood_LTAL_rep3","Blood_STDR_rep1","Blood_STDR_rep2","Blood_STDR_rep3"
"0610007C21Rik",64.4992728721023,54.6789651649426,63.6595606466776,83.8994513992469,41.1713260270829,34.4058231016026,28.6258813535936,46.5917932114604,68.09061260516,60.0639668454348
"0610007L01Rik",102.379798209686,105.452289960961,102.723381952593,81.3949901634485,101.555937533471,133.800423172899,123.091289820453,110.126056681634,120.245124387836,125.133264261323
"0610007P08Rik",59.3802829616179,82.7995758211988,62.2127524501622,85.1516820171461,53.5227238352078,45.8744308021368,58.6830567748669,117.891355550211,53.6032482210834,76.9569575207133
"0610007P14Rik",42.9995152480682,34.3696352465354,45.5744581902351,32.5579960653794,39.7989484928468,36.3172577183583,27.194587285914,38.8264943428837,30.4234652065609,39.4169782423166
"0610007P22Rik",22.5235556061309,22.2621501028695,24.5957393407618,21.2879205042865,23.3304180820137,28.6715192513355,20.0381169475155,15.5305977371535,21.7310465761149,14.3903253900521
"0610009B22Rik",11.2617778030655,13.2791772543432,10.8510614738655,12.5223061789921,10.9790202738888,1.9114346167557,12.8816466091171,5.64749008623763,10.1411550688536,12.5133264261323
"0610009D07Rik",119.784363905333,117.559775104627,130.212737686386,150.267674147905,127.631110683957,120.420380855609,107.347055075976,82.5945425112253,178.194581924142,175.812236287158
"0610009L18Rik",11.2617778030655,0.390564036892447,5.0638286878039,8.76561432529445,9.60664273965269,7.64573846702281,11.4503525414375,9.17717139013615,0,1.87699896391984
"0610009O20Rik",37.8805253375839,37.4941475416749,36.170204912885,46.3325328622707,28.8199282189581,40.1401269518697,31.488469488953,41.6502393860025,62.2956668515294,36.2886466357835
"0610010F05Rik",45.0471112122619,32.8073790989656,26.0425475372772,46.3325328622707,27.447550684722,22.9372154010684,50.0952923687889,26.119641648849,31.8722016449685,33.1603150292505
"0610010K14Rik",12.2855757851623,19.5282018446224,10.8510614738655,8.76561432529445,16.4685304108332,11.4686077005342,24.3319991505546,27.5315141704084,18.8335736992996,30.657649744024
"0610010O12Rik",1.02379798209686,4.68676844270937,2.8936163930308,2.50446123579841,4.11713260270829,3.8228692335114,1.43129406767968,2.82374504311881,4.34620931522298,1.87699896391984
"0610011F06Rik",18.4283636777435,19.5282018446224,31.1063762250811,25.0446123579841,19.2132854793054,9.55717308377851,22.9007050828749,20.4721515626114,27.5259923297456,30.0319834227174
"0610011L14Rik",40.9519192838744,61.3185537921142,73.7872180222854,57.6026084233635,57.6398564379161,42.0515615686254,48.6639983011092,69.8876898171907,47.8083024674528,68.8232953437274
"0610012H03Rik",1.02379798209686,1.56225614756979,0.7234040982577,0,1.3723775342361,0,2.86258813535936,0,0,0
"0610030E20Rik",79.8562426035552,108.5768022561,77.4042385135739,73.8816064560532,98.8111824649991,61.1659077361825,71.5647033839841,144.716933459839,92.7191320580903,101.983610372978
"0610031J06Rik",81.9038385677489,80.4561915998442,62.2127524501622,72.629375838154,59.0122339721522,99.3946000712965,75.8585855870231,69.8876898171907,82.5779769892367,95.1012808386051
"0610037L13Rik",38.9043233196807,56.6317853494049,83.9148753978932,60.1070696591619,43.9160810955551,53.5201692691596,57.2517627071873,61.4164546878342,42.0133567138222,42.5453098488497
"0610037P05Rik",98.2846062812987,52.7261449804804,77.4042385135739,106.439602521433,115.279712875832,181.586288591792,161.736229647804,62.8283272093936,101.411550688536,71.9516269502604
"0610039K10Rik",18.4283636777435,16.7942535863752,21.702122947731,90.1606044887429,122.141600547013,154.826203957212,166.030111850843,121.421036854109,11.5898915072613,103.234943015591
"0610040J01Rik",3.07139394629058,1.56225614756979,4.3404245895462,3.75669185369762,2.7447550684722,5.73430385026711,15.7442347444765,4.23561756467822,10.1411550688536,2.50266528522645
"0910001L09Rik",80.880040585652,41.3997879105994,36.8936090111427,90.1606044887429,41.1713260270829,68.8116462032053,47.2327042334295,45.179920689901,120.245124387836,86.3419523403125
"1100001G20Rik",27.6425455166153,7.03015266406405,29.6595680285657,50.0892247159683,45.2884586297912,34.4058231016026,24.3319991505546,23.2958966057302,42.0133567138222,6.88232953437274
"1110001A16Rik",13.3093737672592,10.9357930329885,10.8510614738655,10.0178449431937,6.86188767118049,13.3800423172899,10.0190584737578,13.4127889548144,15.9361008224843,28.1549844587976
"1110001J03Rik",15.3569697314529,12.1074851436659,14.468081965154,15.0267674147905,9.60664273965269,19.114346167557,8.58776440607809,14.1187252155941,26.0772558913379,21.8983212457314
"1110002B05Rik",54.2612930511336,73.8166029726726,94.7659368717587,65.1159921307588,69.991254246041,53.5201692691596,78.7211737223825,59.2986459054951,49.2570389058605,100.732277730365
"1110002E22Rik",13.3093737672592,2.34338422135468,4.3404245895462,1.25223061789921,8.23426520541659,0,0,1.41187252155941,0,0.625666321306612
"1110002L01Rik",3.07139394629058,6.24902459027916,11.5744655721232,8.76561432529445,4.11713260270829,7.64573846702281,4.29388220303904,13.4127889548144,7.2436821920383,11.261993783519
"1110002N22Rik",10.2379798209686,12.1074851436659,11.5744655721232,15.0267674147905,6.86188767118049,7.64573846702281,12.8816466091171,4.94155382545793,10.1411550688536,10.0106611409058
"1110003E01Rik",480.161253603428,256.99113627523,333.4892892968,587.296159794728,775.393306843395,930.868658360027,861.639028743168,466.623868375384,498.365334812235,560.597023890725
"1110003O08Rik",16.3807677135498,11.7169211067734,7.9574450808347,12.5223061789921,9.60664273965269,7.64573846702281,11.4503525414375,20.4721515626114,18.8335736992996,10.0106611409058
"1110004E09Rik",13.3093737672592,15.2319974388054,16.6382942599271,15.0267674147905,15.0961528765971,13.3800423172899,4.29388220303904,11.2949801724753,18.8335736992996,14.3903253900521
"1110004F10Rik",120.80816188743,61.7091178290067,72.34040982577,75.1338370739524,122.141600547013,175.851984741525,157.442347444765,54.3570920800372,108.655232880575,81.9622880911662
