"","Skin_LTDR_rep1","Skin_LTDR_rep3","Skin_LTAL_rep1","Skin_LTAL_rep2","Skin_Young_rep1","Skin_Young_rep2","Skin_Young_rep3","Skin_STDR_rep1","Skin_STDR_rep2","Skin_STDR_rep3"
"0610007C21Rik",224.812747001794,249.931280013507,190.420264005034,152.128387992896,172.965686059429,283.808440269117,213.426848927617,637.297036026981,322.971095641549,266.746365185179
"0610007L01Rik",191.966728771012,174.109431020646,193.882450623307,177.873192114771,181.912187062503,249.001744764414,226.766026985593,292.50494162475,234.991271697015,255.237004250793
"0610007P08Rik",240.870800359065,277.077374097371,253.432060457608,228.777691173932,244.537694084021,310.582821426581,283.457533731992,242.491143315855,262.236636531451,249.820834399317
"0610007P14Rik",69.3415940427611,60.8446936362471,61.6269218052654,62.0215735663346,35.7860040122957,41.500290794069,40.0175341739282,74.2629126404805,52.7878943667207,67.025101912012
"0610007P22Rik",37.2254873282191,22.465733034922,29.082367593496,26.3299133064628,23.8573360081971,34.806695504703,16.6739725724701,46.9826590174469,34.6243178104297,19.6336157115995
"0610009B22Rik",56.9330982666881,65.5250546851892,60.9344844816107,44.4682980286927,38.7681710133203,226.24352078057,160.070136695713,105.332090377824,45.9765531581116,32.4970191088543
"0610009D07Rik",245.980180972742,350.091006460868,267.973244254356,242.820311604046,325.056203111686,350.744393162777,273.45315018851,202.328547704166,430.817331444527,373.03869852039
"0610009L18Rik",25.5469030683857,13.1050109370378,11.7714345021293,11.1170745071732,17.8930020061478,91.0328959353772,50.0219177174103,12.8823419886548,59.5992355753299,7.44723354577911
"0610009O20Rik",140.143011118001,103.904015286514,132.255528818041,113.511181810084,110.340179037912,350.744393162777,240.105205043569,189.446205715512,176.527259656453,116.447651806728
"0610010F05Rik",252.549384618898,259.292002111391,222.964818216803,203.617996236646,256.466362088119,255.69534005378,266.783561159522,350.854372985127,311.618860293868,280.286789813868
"0610010K14Rik",48.174160071813,56.164332587305,39.468927448316,56.755590905042,68.5898410235667,73.6295481830256,33.3479451449402,72.7473429947564,47.1117766928798,44.0063800432402
"0610010O12Rik",161.31044508895,102.967943076726,71.3210443364307,41.5427521057524,101.393678034838,594.391261695698,323.47506790592,91.6919635663076,106.71101226821,60.9319108291018
"0610011F06Rik",67.1518594940423,27.1460940838641,27.6974929461867,40.3725337365763,41.750338014345,103.081367456236,70.0306848043744,89.4186090977215,37.4623766473502,41.9753163489368
"0610011L14Rik",99.9978777248239,118.881170643129,121.176531639567,93.6174695340899,113.322346038936,194.114263391613,146.730958637737,143.979116343789,167.445471378308,94.782972400825
"0610012H03Rik",0.729911516239591,0,0,0.585109184588062,5.96433400204928,0,0,0,0,0.677021231434465
"0610030E20Rik",185.397525124856,187.214441957683,191.805138652343,220.586162589699,214.716024073774,151.275253539671,200.087670869641,260.677979064544,200.366953886585,214.615730364725
"0610031J06Rik",105.837169854741,112.32866517461,120.484094315912,110.000526702556,125.251014043035,99.0652102826163,43.3523286884222,210.664180755649,93.6559416183755,128.634033972548
"0610037L13Rik",146.712214764158,144.155120307416,137.795027407279,160.319916577129,155.072684053281,163.32372506053,203.422465384135,135.643483292306,147.579059519864,121.863821658204
