"","UpstreamRegulator","X","Group","Tissue","pval","padj","ES","NES","nMoreExtreme","size"
"1","ACKR2",1,"LTAL_vs_LTDR","Blood",0.000173400381480839,0.000173400381480839,0.793956407742822,2.5929751922875,0,39
"2","ACKR2",2,"LTAL_vs_STDR","Blood",0.000167728950016773,0.000167728950016773,0.757914800640382,2.42303253128776,0,39
"3","ACKR2",3,"Young_vs_LTAL","Blood",0.000160462130937099,0.000160462130937099,-0.646455174717303,-1.99282524783656,0,39
"4","ACKR2",4,"LTAL_vs_LTDR","Brain",0.000266595574513463,0.000266595574513463,0.709605754746267,2.19840194530291,0,38
"5","ACKR2",5,"LTAL_vs_STDR","Brain",0.000194779898714453,0.000194779898714453,0.667788896914943,2.05652497539563,0,37
"6","ACKR2",6,"Young_vs_LTAL","Brain",0.000147819660014782,0.000147819660014782,-0.848996947468241,-2.14418222768168,0,36
"7","ACKR2",7,"LTAL_vs_LTDR","Heart",0.282735491396909,0.282735491396909,0.386184664020663,1.12770809746119,1938,41
"8","ACKR2",8,"LTAL_vs_STDR","Heart",0.000317359568390987,0.000317359568390987,0.808689465234293,2.7616051628816,0,39
"9","ACKR2",9,"Young_vs_LTAL","Heart",0.00339443312966735,0.00339443312966735,-0.523259847276713,-1.7366908981479,4,41
"10","ACKR2",10,"LTAL_vs_LTDR","Kidney",0.000273074822501365,0.000273074822501365,0.882737416398007,2.72662619010473,0,41
"11","ACKR2",11,"LTAL_vs_STDR","Kidney",0.00016116035455278,0.00016116035455278,0.791469934772993,2.25541494857661,0,41
"12","ACKR2",12,"Young_vs_LTAL","Kidney",0.000255754475703325,0.000255754475703325,-0.896390364181215,-2.50326902568221,0,42
"13","ACKR2",13,"LTAL_vs_LTDR","Liver",0.000294985250737463,0.000294985250737463,0.746207028965616,2.55619080081066,0,40
"14","ACKR2",14,"LTAL_vs_STDR","Liver",0.000174489617867737,0.000174489617867737,0.79456476998566,2.30496400361054,0,40
"15","ACKR2",15,"Young_vs_LTAL","Liver",0.00156617071260767,0.00156617071260767,-0.596228220367633,-1.89305709260789,5,39
"16","ACKR2",16,"LTAL_vs_LTDR","Lung",0.000181488203266788,0.000181488203266788,0.775516668630833,2.44131040011367,0,42
